"trans_date","price_usd","code_size","sent_by_address","transactions","mining_profitability","sent_in_usd","transaction_fees","median_transaction_fee","confirmation_time","market_cap","transaction_value","median_transaction_value","tweets","google_trends","fee_to_reward","active_addresses","top_100_cap"
"2014-04-09","447.110",243742,122401,64992,"38.6780","239212041","0.1390","0.04470","8.944","5587996110",4115,"100.4200",8193,"11.193","0.502",179274,"19.211"
"2014-04-10","407.703",254334,124298,67872,"31.9170","310367120","0.0864","0.04080","9.290","5020359905",4876,"120.9460",15039,"13.854","0.371",182996,"19.166"
"2014-04-11","403.328",223656,117926,65563,"36.8140","292756343","0.0858","0.04030","8.521","5068919648",4819,"108.4810",14907,"12.997","0.330",169622,"19.141"
"2014-04-12","425.310",169964,87828,47579,"34.4980","157264741","0.0811","0.04250","8.944","5329088351",3574,"84.4080",7582,"9.229","0.226",132283,"19.145"
"2014-04-13","415.876",162260,94828,50981,"34.1410","154756367","0.0840","0.04160","7.701","5150414718",3332,"69.6810",10674,"10.385","0.221",172708,"19.131"
"2014-04-14","445.898",216048,127969,70026,"37.9730","253143718","0.0977","0.04460","7.461","5628122040",3990,"115.2490",13266,"10.754","0.318",183291,"19.146"
"2014-04-15","487.666",241539,123107,72627,"38.6500","293892234","0.1110","0.04880","7.912","6170470953",4479,"123.0890",14835,"11.053","0.362",199054,"19.124"
"2014-04-16","517.354",270984,114312,68435,"40.2010","389249585","0.1080","0.05170","9.057","6496569317",6046,"129.7990",15790,"12.189","0.359",185075,"19.146"
"2014-04-17","505.461",223631,102596,65021,"40.7060","385378002","0.1170","0.05050","8.521","6281237538",6384,"102.4160",15215,"11.471","0.355",157751,"19.092"
"2014-04-18","485.296",205478,100633,56836,"35.8180","360602878","0.1040","0.04850","9.000","5972292967",6461,"107.7130",14028,"9.946","0.304",149452,"19.054"
"2014-04-19","490.961",193237,93159,53356,"34.4350","208459964","0.1160","0.04910","9.057","6132827987",4168,"84.7630",12337,"9.389","0.317",141149,"19.054"
"2014-04-20","501.271",169511,88713,48865,"38.5600","196288922","0.1110","0.05010","8.090","6234226740",4180,"87.8910",12139,"8.511","0.244",164288,"19.046"
"2014-04-21","498.970",190616,93895,57939,"34.3160","340647125","0.1070","0.04990","8.421","6201738943",6198,"83.9430",14244,"9.159","0.292",142367,"19.040"
"2014-04-22","491.704",288040,125522,77888,"33.6100","412597054","0.0966","0.04920","9.351","6097607345",5470,"88.0930",16098,"9.319","0.396",183641,"18.996"
"2014-04-23","486.543",241953,103825,73789,"34.8970","301525635","0.0960","0.04870","8.727","6041607759",4459,"63.8000",16232,"10.176","0.353",156727,"19.186"
"2014-04-24","487.399",279755,103639,72543,"32.9110","187824879","0.1000","0.04870","9.536","6091264792",2944,"83.9310",15471,"9.967","0.395",168337,"19.216"
"2014-04-25","464.777",226597,116925,72468,"38.6550","238365713","0.0875","0.04650","7.912","5753179561",3466,"73.0700",15255,"9.458","0.300",181970,"19.187"
"2014-04-26","456.496",179961,87285,52012,"30.4090","139566626","0.0802","0.04560","8.834","5654966188",2902,"77.4770",12283,"8.142","0.224",135298,"19.179"
"2014-04-27","450.932",180924,85171,52452,"34.5480","121603221","0.1010","0.04510","8.136","5569104074",2526,"65.8250",11667,"8.601","0.266",171950,"19.182"
"2014-04-28","435.888",238892,111451,64394,"28.3930","224460196","0.0866","0.04360","9.474","5399609103",3827,"88.3690",15969,"9.319","0.336",167559,"19.215"
"2014-04-29","443.354",227145,110736,64886,"34.4590","222912073","0.0862","0.04430","8.421","5520546811",3811,"80.9820",16706,"8.581","0.295",169787,"19.135"
"2014-04-30","444.261",270251,109507,63501,"23.9490","186710324","0.0906","0.04440","10.511","5554456253",3343,"96.0600",17588,"9.688","0.378",166103,"19.131"
"2014-05-01","453.541",191897,101423,59482,"33.4770","182138012","0.0827","0.04540","8.182","5668431501",3336,"81.5190",16988,"9.341","0.247",154675,"19.153"
"2014-05-02","448.574",211466,92605,59820,"26.1930","276721842","0.0891","0.04490","8.944","5541344199",4774,"71.9220",20057,"7.947","0.295",143742,"19.088"
"2014-05-03","439.480",203445,70902,54015,"25.9630","227139061","0.0837","0.04390","10.141","5445149743",4454,"59.1350",12910,"7.389","0.290",117096,"19.086"
"2014-05-04","434.535",201481,73760,51618,"27.7690","171345329","0.0832","0.04350","9.536","5447944581",3529,"61.0510",12716,"7.250","0.262",156696,"19.094"
"2014-05-05","431.727",298957,96210,67638,"25.1480","252136525","0.0864","0.04320","11.520","5415153789",4084,"72.6590",21273,"9.202","0.432",148135,"19.107"
